"","ColoRect-AdenoCA_cluster_1","ColoRect-AdenoCA_cluster_2","ColoRect-AdenoCA_cluster_3","ColoRect-AdenoCA_cluster_4","ColoRect-AdenoCA_cluster_5","ColoRect-AdenoCA_cluster_6","ColoRect-AdenoCA_cluster_7","ColoRect-AdenoCA_cluster_8","ColoRect-AdenoCA_cluster_9","ColoRect-AdenoCA_clusters_6_8_9","Panc-AdenoCA_cluster_1","Panc-AdenoCA_cluster_2","Panc-AdenoCA_cluster_3","Panc-AdenoCA_cluster_4","Panc-AdenoCA_cluster_5","Panc-AdenoCA_cluster_6","Panc-AdenoCA_cluster_7","Panc-AdenoCA_cluster_8","Panc-AdenoCA_cluster_9"
"chr3.2",535,4649,49,115,117,7,12,15,17,39,335,261,148,172,38,24,192,54,0
"chr3.3",559,4162,56,123,117,6,17,15,12,33,311,280,168,185,47,21,166,58,0
"chr3.4",453,3255,26,69,82,3,6,11,9,23,113,132,70,80,33,2,99,37,0
"chr3.5",321,2162,11,35,25,2,12,10,9,21,64,72,40,48,21,4,55,20,0
"chr3.6",357,2454,15,49,54,3,4,13,5,21,59,97,45,59,33,5,76,17,0
"chr3.7",401,3101,29,59,53,1,5,6,3,10,144,124,85,75,29,3,97,29,0
"chr3.8",447,3340,35,98,59,2,8,20,11,33,105,119,53,39,25,9,101,29,0
"chr3.9",352,2332,23,56,57,0,6,15,5,20,56,93,41,39,16,4,68,26,0
"chr3.10",222,1593,7,28,27,3,7,6,7,16,48,60,39,42,20,2,58,26,0
"chr3.11",364,1752,14,40,28,1,14,7,7,15,63,80,50,56,19,1,71,25,1
"chr3.12",269,1812,10,39,27,0,7,5,6,11,48,80,35,43,20,3,56,22,0
"chr3.13",238,1678,16,28,28,0,11,8,4,12,48,70,33,39,19,3,64,15,0
"chr3.14",358,1808,15,48,34,3,8,3,4,10,121,110,68,62,33,9,57,24,0
"chr3.15",266,1612,20,35,20,1,6,5,5,11,48,79,48,36,27,1,65,18,0
"chr3.16",247,1800,13,26,20,1,7,8,3,12,48,71,29,39,26,1,53,16,0
"chr3.17",389,2843,29,40,52,5,9,7,11,23,78,61,54,50,33,2,69,21,0
"chr3.18",274,2239,13,41,30,2,11,4,6,12,44,81,40,37,25,4,51,17,0
"chr3.19",311,2686,16,47,56,2,9,12,12,26,108,106,61,38,27,2,81,27,0
"chr3.20",367,3058,25,48,52,3,14,12,9,24,80,96,41,50,19,3,76,27,0
"chr3.21",520,3411,40,73,79,6,4,12,6,24,115,111,73,63,17,4,103,29,0
"chr3.22",716,4966,71,119,130,4,11,21,10,35,200,120,87,93,35,7,112,26,0
"chr3.23",544,4152,70,106,96,5,11,16,9,30,236,203,108,117,30,18,138,26,0
"chr3.24",422,2666,27,58,56,3,8,12,4,19,80,111,60,61,18,10,80,27,0
"chr3.25",440,2900,22,40,36,2,3,11,1,14,50,68,41,36,8,3,58,18,0
"chr3.26",412,2908,19,42,61,4,12,11,6,21,79,80,50,50,27,3,87,24,0
"chr3.28",363,2532,12,41,36,3,8,12,4,19,81,84,59,51,17,2,97,30,0
"chr3.29",383,2883,22,55,50,1,6,7,4,12,149,120,77,68,23,8,99,23,0
"chr3.30",433,3472,30,67,65,2,7,16,10,28,140,124,75,70,33,7,107,35,0
"chr3.31",254,2355,9,30,20,1,4,7,5,13,62,69,30,38,17,4,58,23,0
"chr3.32",291,2088,3,34,24,1,3,9,4,14,58,105,30,40,19,3,55,28,0
"chr3.33",286,1755,12,24,15,0,8,10,5,15,46,71,33,36,16,2,48,20,1
"chr3.34",268,2003,16,28,23,0,14,9,5,14,62,68,32,36,14,2,64,19,0
"chr3.35",357,2896,24,53,38,3,4,10,7,20,138,123,62,76,33,5,85,31,0
"chr3.36",570,4150,46,92,61,4,11,10,9,23,211,164,83,83,29,11,110,25,0
"chr3.37",466,3079,29,66,53,5,8,8,8,21,140,128,88,66,29,8,84,35,0
"chr3.38",236,1744,12,26,21,2,9,5,3,10,58,52,41,30,23,3,62,22,0
"chr3.39",330,1870,8,35,30,2,10,10,3,15,65,79,55,41,16,4,60,27,0
"chr3.40",275,2182,6,30,19,4,10,6,6,16,83,61,45,33,21,5,70,19,0
"chr3.41",285,2149,12,18,23,1,4,11,6,18,62,68,42,47,17,2,61,23,0
"chr3.42",306,2125,8,25,31,1,10,11,4,16,61,59,46,37,16,3,49,18,0
"chr3.43",265,1805,6,29,20,0,11,6,4,10,53,78,31,31,12,0,27,17,0
"chr3.44",319,2137,17,31,23,2,5,5,6,13,65,83,36,43,21,1,43,25,0
"chr3.45",371,2311,17,37,22,2,5,5,3,10,59,73,36,46,13,4,52,24,0
"chr3.46",244,1535,10,25,11,1,8,11,3,15,54,59,38,27,15,4,39,25,0
"chr3.47",288,2096,19,33,28,2,10,12,5,19,52,76,40,47,21,5,45,19,0
"chr3.51",259,1355,15,38,25,1,12,4,3,8,51,70,37,36,17,6,64,30,0
"chr3.53",190,1028,13,22,26,2,10,4,1,7,40,50,32,35,11,0,44,14,0
"chr3.54",233,1415,10,30,20,0,9,8,0,8,50,47,39,37,17,2,48,16,0
"chr3.55",413,2684,22,44,59,3,7,5,6,14,158,166,93,105,26,9,85,37,0
"chr3.56",404,2895,24,51,75,3,6,3,7,13,195,142,95,106,32,10,76,42,1
"chr3.57",354,2327,21,45,37,1,8,8,10,19,80,84,48,44,15,7,44,30,0
"chr3.60",344,2681,21,53,41,3,11,11,7,21,74,101,43,46,17,2,51,27,0
"chr3.62",275,2009,11,42,27,2,7,8,7,17,55,87,38,30,15,4,47,18,1
"chr3.63",294,2370,18,24,29,1,7,11,6,18,49,81,33,42,19,1,72,19,0
"chr3.64",276,2354,12,25,26,0,8,12,5,17,47,68,33,30,10,6,53,20,0
"chr3.65",300,2557,14,33,37,4,7,10,6,20,70,74,54,36,15,2,50,28,0
"chr3.66",293,2124,18,25,32,1,5,6,6,13,58,49,39,34,17,1,52,21,0
"chr3.68",308,2432,24,31,36,1,9,13,3,17,73,70,50,56,17,5,63,31,0
"chr3.69",453,3276,25,69,87,3,5,10,16,29,132,155,81,83,21,5,96,30,0
"chr3.70",368,2427,24,41,36,2,3,15,2,19,78,68,54,37,12,1,59,28,0
"chr3.71",446,3556,33,58,62,1,8,12,8,21,108,118,63,60,22,8,84,18,0
"chr3.72",317,1894,12,39,45,1,3,8,9,18,61,65,44,38,22,4,64,22,0
"chr3.73",295,2044,18,26,22,3,5,7,3,13,60,97,37,29,20,0,56,27,0
"chr3.74",282,2203,7,24,32,1,11,8,7,16,150,152,92,88,24,10,92,43,0
"chr3.75",407,3338,31,59,57,4,12,16,11,31,131,112,72,69,22,6,85,23,0
"chr3.78",563,3742,37,87,106,6,12,12,8,26,225,180,125,75,32,8,144,38,0
"chr3.79",673,4201,60,113,110,6,14,16,18,40,248,201,107,108,29,10,121,57,0
"chr3.80",587,4548,53,95,100,6,10,18,12,36,232,208,97,89,28,29,123,38,0
"chr3.81",463,3461,35,67,65,3,8,11,15,29,138,121,82,68,26,7,111,31,0
"chr3.82",328,2861,31,58,48,2,9,12,6,20,142,145,96,72,24,6,108,39,0
"chr3.83",706,4909,75,141,132,1,8,16,11,28,309,227,134,129,36,16,123,61,0
"chr3.84",806,5213,116,157,134,3,13,18,12,33,350,235,181,171,49,17,133,57,0
"chr3.85",768,5202,90,146,146,12,24,16,20,48,338,224,124,115,36,16,171,40,0
"chr3.87",617,4063,38,86,101,5,11,15,8,28,256,209,109,131,38,18,154,62,0
"chr3.88",354,2811,30,47,49,4,8,12,8,24,130,116,45,80,34,7,116,39,0
"chr3.89",427,3349,28,67,65,4,10,13,13,30,184,148,113,94,21,9,150,32,1
"chr3.90",527,3997,34,90,97,2,13,19,7,28,167,137,89,63,32,5,136,31,0
"chr3.91",363,3000,28,66,71,3,8,11,5,19,150,140,91,63,29,8,94,29,0
"chr3.92",495,3732,29,88,85,7,14,8,10,25,230,167,119,77,46,16,142,39,0
"chr3.93",638,4828,45,132,112,4,16,22,11,37,255,172,125,82,38,5,161,35,0
"chr3.94",500,3877,46,92,97,5,12,8,16,29,240,173,131,123,43,9,151,31,0
"chr3.95",460,3048,31,67,77,3,11,8,8,19,130,134,79,55,31,7,92,30,0
"chr3.96",456,3473,33,85,66,1,6,9,12,22,177,135,87,72,30,7,130,42,0
"chr3.97",328,1994,6,27,24,1,2,7,4,12,60,60,53,36,26,1,63,24,0
"chr3.98",327,2542,24,44,33,1,7,14,3,18,78,71,46,33,29,2,56,15,0
"chr3.99",311,2529,22,56,52,2,3,3,10,15,98,80,51,50,29,2,98,26,0
"chr3.100",577,4089,57,119,116,5,9,18,12,35,176,141,97,93,31,6,126,42,0
"chr3.101",542,3835,54,115,109,8,8,23,10,41,310,228,141,137,43,8,156,48,0
"chr3.102",404,3049,37,58,71,1,17,16,9,26,147,115,75,55,29,4,99,38,0
"chr3.103",433,3190,19,64,68,7,13,10,8,25,132,136,73,55,32,6,118,26,0
"chr3.104",450,2911,29,59,56,2,13,15,9,26,118,122,54,56,34,3,97,35,0
"chr3.105",269,2212,12,26,15,0,11,6,4,10,51,64,56,33,25,3,60,21,0
"chr3.107",383,3093,17,73,78,1,10,6,7,14,97,117,71,42,37,6,118,29,0
"chr3.108",363,2658,24,39,48,4,3,9,3,16,75,94,46,43,21,4,88,19,0
"chr3.109",309,2188,17,26,27,3,5,8,6,17,60,82,31,44,18,5,59,27,0
"chr3.110",326,1976,12,28,32,4,10,8,4,16,51,60,49,45,21,2,70,16,0
"chr3.111",305,2223,15,50,38,4,7,13,6,23,81,93,64,48,22,3,74,24,0
"chr3.112",364,3132,19,62,49,2,9,13,8,23,104,114,59,52,25,2,86,34,0
"chr3.113",450,3406,31,74,82,2,14,7,13,22,141,124,98,83,34,4,100,38,0
"chr3.115",492,3684,45,79,90,2,8,12,12,26,256,180,146,109,41,10,181,45,0
"chr3.116",371,2515,24,43,46,0,11,10,8,18,89,98,55,44,21,3,74,20,0
"chr3.117",276,2154,16,30,24,0,9,7,5,12,54,73,53,46,24,1,76,20,0
"chr3.119",293,2152,18,27,35,0,14,12,4,16,37,52,41,34,29,2,47,25,1
"chr3.120",334,1854,10,21,21,1,7,7,7,15,72,88,55,55,20,3,70,38,0
"chr3.121",335,2167,19,20,25,0,6,4,5,9,63,83,44,49,19,3,57,31,0
"chr3.122",261,1548,13,26,23,0,8,9,1,10,49,58,39,38,21,3,54,25,0
"chr3.124",320,1692,24,37,38,1,12,10,6,17,79,93,57,58,20,7,81,25,0
"chr3.125",261,1792,4,22,22,3,9,3,3,9,55,83,59,39,24,2,68,16,0
"chr3.126",250,1366,11,31,25,2,9,8,4,14,54,71,51,28,13,4,60,19,0
"chr3.128",352,2599,24,41,36,1,7,9,6,16,66,84,51,49,19,7,103,23,0
"chr3.129",314,2281,18,39,43,4,5,11,8,23,63,106,54,53,22,2,74,32,0
"chr3.131",298,1920,11,24,23,1,7,5,2,8,57,132,41,43,19,7,67,34,0
"chr3.132",400,2812,26,66,46,2,10,8,8,18,166,147,117,97,29,8,165,44,0
"chr3.135",317,2103,23,44,28,2,7,9,7,18,64,91,51,38,20,4,73,18,0
"chr3.136",312,2085,18,32,24,1,13,5,6,12,66,107,60,35,20,11,85,30,0
"chr3.137",429,2994,26,57,67,7,7,8,10,25,196,198,101,147,29,10,139,60,0
"chr3.138",299,1829,13,38,19,2,9,7,2,11,51,106,48,47,18,5,62,20,0
"chr3.139",248,1763,14,23,14,0,11,7,2,9,58,75,47,32,21,3,64,25,0
"chr3.140",372,2673,23,41,28,1,3,12,7,20,70,83,47,38,21,2,90,31,0
"chr3.141",482,3585,40,90,87,5,9,9,9,23,212,143,126,99,21,11,115,38,0
"chr3.142",578,4465,41,99,120,8,12,14,14,36,272,185,121,100,50,20,127,52,0
"chr3.143",365,2624,15,41,48,1,7,8,3,12,127,110,87,50,28,6,94,35,0
"chr3.144",588,3804,56,93,108,4,11,10,13,27,266,236,171,107,38,18,180,41,0
"chr3.145",425,3571,19,60,65,1,6,10,8,19,153,152,92,74,23,5,130,37,0
"chr3.146",340,2272,10,32,37,2,7,9,4,15,62,79,40,40,24,5,72,28,0
"chr3.147",319,2138,16,30,28,4,5,11,8,23,56,77,33,24,27,4,87,31,0
"chr3.148",351,2776,19,38,43,0,5,20,7,27,73,98,58,41,21,6,90,39,0
"chr3.149",300,2443,12,40,31,0,3,9,5,14,64,118,41,36,34,8,74,27,0
"chr3.150",370,2948,28,45,54,0,11,13,5,18,98,106,73,50,30,2,101,32,0
"chr3.151",448,2999,27,61,71,4,6,7,7,18,128,108,65,67,27,8,99,28,1
"chr3.152",349,2543,15,46,40,5,6,10,10,25,91,93,55,40,34,6,108,17,0
"chr3.153",365,2400,19,45,34,2,8,9,8,19,75,81,31,52,35,4,91,21,0
"chr3.154",354,2707,26,36,40,4,7,13,11,28,82,112,49,53,36,1,76,34,0
"chr3.156",352,2967,33,46,67,4,6,12,3,19,123,115,98,75,41,2,134,43,0
"chr3.157",314,2514,13,35,36,1,10,8,4,13,46,88,55,42,25,9,117,24,0
"chr3.158",376,2751,22,55,62,2,4,12,5,19,92,69,57,53,25,6,85,21,0
"chr3.159",496,3897,48,96,101,4,16,13,9,26,248,177,126,108,41,8,162,34,0
"chr3.160",588,4341,61,103,105,7,4,12,14,33,345,249,174,174,53,38,198,56,0
"chr3.161",429,3662,45,70,94,5,12,19,12,36,316,243,166,142,66,10,180,58,0
"chr3.162",344,3327,21,65,94,4,9,13,9,26,207,221,130,113,39,13,154,63,0
"chr3.163",565,4462,46,109,95,4,10,18,16,38,367,270,209,145,51,11,149,53,0
"chr3.164",462,3349,43,79,105,4,12,16,2,22,219,203,124,102,50,20,146,48,1
"chr3.165",273,2705,25,37,40,4,10,7,6,17,75,77,100,43,34,2,96,33,0
"chr3.166",252,2206,13,31,29,0,12,10,3,13,57,63,48,45,31,23,87,29,0
"chr3.167",302,2035,12,25,18,0,2,7,6,13,102,80,53,29,32,5,65,30,0
"chr3.168",307,2109,6,26,26,1,6,11,4,16,48,55,30,40,28,1,74,15,0
"chr3.169",283,1879,10,23,21,5,6,14,3,22,29,75,40,35,29,3,83,28,0
"chr3.170",415,3006,31,59,72,3,7,9,10,22,106,134,103,70,36,7,111,35,0
"chr3.171",460,3513,20,58,71,6,15,10,5,21,134,115,81,59,41,5,108,23,0
"chr3.173",400,3089,24,56,72,3,7,19,8,30,137,125,108,69,33,11,118,31,0
"chr3.174",270,1817,13,36,23,1,5,7,5,13,67,81,58,30,37,2,102,29,0
"chr3.175",363,2988,20,39,52,1,6,12,3,16,79,93,48,51,31,2,107,34,0
"chr3.176",357,2369,24,37,46,2,8,7,7,16,95,99,59,45,31,6,95,20,0
"chr3.177",540,3677,50,91,91,5,6,17,9,31,208,204,112,104,44,15,141,38,0
"chr3.178",530,3518,34,72,78,5,4,13,7,25,153,146,97,45,47,6,118,30,0
"chr3.179",415,2726,18,39,34,2,13,10,12,24,68,106,56,46,39,4,91,33,0
"chr3.180",301,1956,13,24,20,0,3,6,4,10,44,75,46,40,34,6,71,27,0
"chr3.181",283,1521,15,27,27,2,11,8,3,13,59,92,56,32,36,3,62,30,0
"chr3.182",226,1571,10,22,19,1,2,4,2,7,61,81,48,36,52,1,78,18,0
"chr3.183",369,2169,16,25,33,4,10,14,5,23,60,72,64,39,28,5,77,38,0
"chr3.184",388,2466,23,33,27,2,9,14,4,20,71,76,46,54,32,7,68,39,0
"chr3.185",250,1774,7,26,18,1,3,5,3,9,58,72,53,52,20,3,68,20,0
"chr3.186",257,2350,21,27,31,0,4,6,8,14,51,76,36,41,34,6,79,30,0
"chr3.187",314,2508,17,26,34,1,2,9,5,15,71,79,57,47,17,4,88,18,1
"chr3.188",463,3246,42,64,70,4,11,12,10,26,120,131,79,50,34,2,102,22,0
"chr3.189",514,3727,49,90,90,4,4,16,9,29,202,182,146,85,32,7,131,48,0
"chr3.190",390,2393,16,26,43,0,4,9,3,12,69,99,60,35,26,2,83,28,0
"chr3.191",232,1459,17,27,21,0,6,2,6,8,60,71,28,28,21,0,72,24,0
"chr4.3",220,1370,16,23,18,1,13,7,1,9,45,73,52,37,18,1,78,17,0
"chr4.6",558,2821,53,74,59,2,14,14,7,23,175,181,111,148,28,12,117,43,0
"chr4.7",293,1540,19,40,14,0,8,5,7,12,75,92,64,63,22,3,81,29,0
"chr4.8",290,1412,14,42,25,1,14,7,3,11,70,105,64,62,20,4,58,28,0
"chr4.11",319,2340,11,25,21,1,9,4,4,9,96,121,71,61,22,5,96,24,0
"chr4.12",262,2367,14,20,18,2,5,3,7,12,74,90,43,57,24,7,82,18,0
"chr4.13",438,3483,35,59,66,0,8,7,9,16,148,151,118,124,25,14,111,43,0
"chr4.14",473,2855,37,56,51,3,16,11,4,18,115,110,62,78,16,7,109,21,0
"chr4.15",620,3584,33,70,76,4,14,10,11,25,88,98,70,64,14,4,98,27,0
"chr4.16",351,2368,21,31,36,1,2,6,4,11,69,104,59,45,20,3,78,24,0
"chr4.17",392,2541,34,48,30,7,6,4,7,18,86,107,86,69,27,3,105,25,1
"chr4.18",402,2540,25,46,35,2,10,7,8,17,111,103,86,63,26,5,110,35,0
"chr4.19",383,3616,37,74,59,5,11,10,12,27,101,113,69,63,20,6,88,29,1
"chr4.20",589,4248,64,131,78,8,7,14,4,26,234,164,136,101,27,9,121,41,0
"chr4.21",430,2902,28,74,64,7,7,9,6,22,195,165,130,116,39,12,101,37,0
"chr4.22",532,3530,32,81,74,7,10,7,14,28,190,149,113,108,31,6,149,35,0
"chr4.23",348,2652,18,47,32,2,9,5,10,17,90,99,61,66,20,5,72,22,0
"chr4.24",328,2786,20,40,40,2,9,5,5,12,66,95,54,44,21,8,71,38,0
"chr4.25",290,2055,8,29,18,3,7,5,2,10,42,77,59,44,11,3,73,22,0
"chr4.26",303,1973,13,26,20,2,11,3,4,9,45,67,36,36,9,4,68,19,0
"chr4.27",361,2252,23,39,20,4,5,5,7,16,53,73,41,35,5,2,55,21,0
"chr4.28",495,3654,40,90,67,2,12,12,6,20,195,189,124,136,36,11,108,35,0
"chr4.29",663,4886,81,119,107,3,22,7,15,25,318,240,204,188,48,13,147,46,0
"chr4.30",798,5699,83,163,135,10,11,13,20,43,354,309,201,214,57,19,196,29,0
"chr4.31",587,3911,56,111,90,4,11,12,10,26,187,158,108,82,38,8,111,27,0
"chr4.32",534,3706,46,92,57,4,11,7,13,24,184,144,98,119,53,9,149,29,0
"chr4.33",596,4386,75,115,70,8,12,10,11,29,262,198,157,187,38,14,174,46,0
"chr4.34",774,5160,74,161,94,10,10,10,12,32,347,304,227,210,33,18,202,49,0
"chr4.35",722,5411,88,127,81,12,14,11,4,27,319,271,174,189,41,18,151,48,0
"chr4.36",576,4131,46,114,72,5,8,12,11,28,243,196,126,134,42,9,134,31,0
"chr4.37",356,2944,17,49,35,2,12,10,8,20,132,119,60,76,24,9,90,25,0
"chr4.38",271,2235,13,41,28,0,9,5,2,7,56,58,45,40,21,7,58,24,0
"chr4.39",264,1882,10,34,12,2,5,2,5,9,41,60,36,37,12,1,60,12,0
"chr4.42",368,2257,20,22,29,1,7,6,4,11,86,99,62,71,14,8,78,35,1
"chr4.43",391,2724,25,37,29,2,12,5,5,12,107,116,76,73,17,3,84,25,0
"chr4.44",668,4535,58,137,85,3,13,16,18,37,149,124,95,66,28,9,128,32,0
"chr4.45",588,4460,69,99,82,2,9,4,17,23,189,165,120,111,30,13,123,41,0
"chr4.46",567,4055,43,82,68,5,11,6,17,28,176,165,120,102,48,5,142,33,0
"chr4.47",438,3557,35,89,61,4,13,10,10,24,209,148,138,118,23,8,152,45,0
"chr4.48",338,2684,17,37,30,0,4,8,5,13,130,122,89,83,22,9,92,26,0
"chr4.49",270,1897,8,21,20,1,10,5,5,11,47,64,45,49,18,6,56,23,0
"chr4.52",355,2452,24,51,32,5,8,4,7,16,106,103,51,49,16,4,93,28,0
"chr4.53",382,2391,19,44,35,2,6,6,7,15,61,75,45,41,14,5,82,25,0
"chr4.54",281,1981,10,30,20,2,7,10,5,17,77,63,55,42,11,2,81,28,1
"chr4.56",639,4709,57,133,95,0,10,12,7,19,292,212,180,143,57,11,129,51,0
"chr4.58",825,5791,94,160,130,7,13,11,13,31,300,207,172,144,49,13,158,58,0
"chr4.59",624,4999,60,97,66,3,11,11,12,26,138,119,101,92,37,10,105,34,0
"chr4.60",448,4406,42,104,88,6,12,12,13,31,190,177,111,108,48,6,127,42,0
"chr4.61",569,4837,67,111,105,7,8,18,8,33,305,207,214,149,56,15,193,54,0
"chr4.62",750,4777,84,134,91,7,16,9,12,28,225,158,105,90,35,6,156,42,0
"chr4.63",659,5035,62,110,113,8,13,13,14,35,261,206,168,146,30,16,164,32,0
"chr4.64",803,5081,71,139,118,11,12,15,25,51,261,227,161,134,48,15,156,51,0
"chr4.65",521,3223,38,79,77,5,8,7,10,22,165,117,89,77,29,3,100,30,0
"chr4.66",322,2691,29,43,42,4,6,9,8,21,67,85,57,62,27,4,79,21,0
"chr4.68",347,2754,24,50,37,2,10,11,5,18,74,84,64,35,14,6,80,18,0
"chr4.69",286,2449,22,34,33,2,6,7,9,18,48,61,41,33,12,3,65,15,0
"chr4.70",471,3634,38,89,73,9,6,13,5,27,102,108,84,54,34,8,78,29,1
"chr4.71",367,2451,24,44,40,0,4,2,17,19,64,73,50,39,18,5,73,40,2
"chr4.74",225,1769,10,24,22,0,15,6,4,10,37,70,56,42,14,3,64,21,0
"chr4.75",257,1944,23,22,22,1,7,6,4,11,52,65,43,36,18,3,76,24,0
"chr4.76",313,2149,11,18,23,0,8,8,4,12,53,61,45,41,15,4,65,23,0
"chr4.77",311,2817,24,40,35,5,8,4,7,16,91,100,73,57,23,6,132,18,0
"chr4.78",365,3053,29,41,39,0,6,8,12,20,96,91,71,69,30,2,100,33,0
"chr4.79",315,2651,22,29,33,1,6,6,9,16,89,89,69,44,22,4,67,27,0
"chr4.80",350,2379,26,37,16,4,5,8,1,13,42,80,54,36,17,5,72,22,0
"chr4.81",266,1790,13,23,19,2,9,2,5,9,45,64,54,42,15,5,63,21,0
"chr4.82",335,2606,19,33,45,4,11,4,3,11,104,126,87,80,12,5,91,35,0
"chr4.83",363,2724,27,52,35,1,2,6,5,12,92,97,55,57,19,2,83,25,0
"chr4.84",367,2686,25,48,35,3,2,3,3,9,101,78,45,52,25,5,71,17,1
"chr4.85",268,1861,23,27,19,2,11,4,9,15,63,67,38,35,19,3,57,15,0
"chr4.86",368,2553,14,24,21,2,2,2,1,5,59,83,55,52,13,3,53,18,0
"chr4.87",290,2265,11,29,22,0,5,5,8,13,39,81,35,51,17,1,72,19,0
"chr4.88",334,2574,33,51,43,1,3,9,7,17,90,79,63,51,20,1,71,12,0
"chr4.89",376,2723,29,55,47,2,13,10,8,20,107,106,97,97,27,5,95,20,0
"chr4.90",391,3380,33,72,55,5,4,11,18,34,144,123,86,82,25,5,86,27,0
"chr4.92",324,2489,14,29,26,1,12,5,5,11,43,82,42,34,21,6,72,30,0
"chr4.93",504,3342,26,106,66,4,8,7,9,20,145,127,99,76,28,5,85,38,0
"chr4.94",621,4319,63,148,85,6,11,13,13,32,237,136,104,77,23,10,126,43,0
"chr4.95",492,3747,58,92,67,3,11,6,9,18,185,132,111,76,30,11,124,24,0
"chr4.96",379,2534,20,40,44,1,8,6,5,12,90,85,74,34,24,4,82,27,1
"chr4.97",300,2441,15,34,28,0,8,4,9,13,47,72,35,51,17,3,62,17,0
"chr4.98",426,3151,32,59,42,5,6,6,11,22,70,86,58,55,21,4,100,34,0
"chr4.99",304,2732,26,42,34,0,8,6,5,11,75,71,43,40,20,6,61,23,0
"chr4.100",350,2372,17,49,35,2,10,9,6,17,51,73,53,47,23,2,70,22,0
"chr4.102",392,3638,34,65,45,2,8,10,8,20,111,99,46,62,19,3,78,27,0
"chr4.103",271,2258,19,34,30,3,10,5,7,15,55,65,48,39,17,1,69,22,0
"chr4.104",332,2231,11,46,31,3,4,5,8,16,72,84,76,36,17,5,71,20,0
"chr4.105",333,2899,34,56,51,0,5,13,4,17,117,108,71,88,21,9,86,29,0
"chr4.106",327,2493,12,35,31,1,7,5,6,12,70,87,46,50,29,4,76,29,0
"chr4.107",411,2652,27,60,40,3,8,6,6,15,102,91,70,76,21,5,89,23,0
"chr4.108",284,2373,23,29,35,2,5,7,7,16,76,83,68,60,20,3,94,21,0
"chr4.109",290,3130,24,52,37,1,3,4,8,13,152,157,110,114,31,15,125,30,0
"chr4.110",350,2371,19,30,27,1,4,2,2,5,77,79,44,63,19,7,63,21,0
"chr4.111",397,2719,25,53,45,3,11,10,11,24,110,97,97,59,25,3,72,30,0
"chr4.112",307,2566,13,33,21,2,7,7,2,11,58,76,46,40,17,3,60,23,0
"chr4.113",377,3230,28,71,59,6,7,10,3,19,167,134,69,75,30,9,136,28,0
"chr4.114",536,4399,45,103,73,6,10,9,7,22,231,262,166,119,34,8,135,41,0
"chr4.115",422,3843,33,84,64,0,4,6,16,22,222,180,140,131,37,10,134,39,0
"chr4.118",375,3221,28,52,46,2,8,8,9,19,133,93,84,71,18,2,89,36,0
"chr4.119",365,2796,26,45,39,2,7,10,9,21,111,107,88,64,26,9,98,30,0
"chr4.120",365,2726,21,41,31,0,6,7,5,12,92,86,77,56,21,2,86,23,0
"chr4.121",297,2134,17,30,22,4,6,4,3,11,62,66,42,31,19,1,53,17,0
"chr4.122",320,3062,19,42,46,1,6,8,7,16,61,74,41,42,19,5,93,17,0
"chr4.123",523,4136,55,99,75,4,13,14,16,34,154,116,76,72,23,6,84,20,0
"chr4.124",705,4971,80,149,108,12,22,12,17,41,261,178,150,130,39,20,129,25,1
"chr4.125",499,3098,52,75,79,5,7,15,13,33,159,128,108,101,23,13,117,25,0
"chr4.127",378,2856,23,45,52,1,9,7,11,19,108,119,95,87,27,6,100,33,0
"chr4.128",694,5039,61,120,98,5,15,21,8,34,273,163,102,135,27,10,133,41,0
"chr4.129",799,5742,77,182,84,10,10,14,11,35,303,235,188,177,49,19,169,47,0
"chr4.131",871,6129,64,175,114,3,14,17,10,30,368,264,280,251,58,25,201,48,0
"chr4.132",676,4715,59,117,106,3,13,15,6,24,324,234,210,190,55,21,150,32,0
"chr4.133",763,5328,62,136,104,6,13,14,12,32,350,251,202,214,46,21,173,47,0
"chr4.134",799,6172,82,139,99,0,9,14,20,34,346,232,172,160,37,8,192,33,1
"chr4.135",673,4716,55,145,77,3,8,8,5,16,313,228,196,144,40,15,149,41,0
"chr4.136",394,3021,28,53,44,1,8,10,10,21,122,106,80,59,26,6,95,36,1
"chr4.137",304,1954,14,32,33,2,11,7,6,15,72,55,41,41,15,3,57,18,0
"chr4.138",327,1884,11,24,17,2,5,4,3,9,54,55,57,37,26,4,62,22,0
"chr4.139",401,2763,30,47,35,3,4,5,6,14,75,81,66,52,28,5,68,26,0
"chr4.140",281,2505,15,42,25,1,4,3,7,11,60,79,53,37,19,3,77,20,0
"chr4.141",346,2376,8,27,21,0,7,8,7,15,73,75,55,56,22,6,79,24,0
"chr4.144",328,2455,10,35,28,0,5,5,2,7,55,76,54,48,25,3,73,16,1
"chr4.145",401,3000,24,35,36,2,13,11,4,17,78,94,74,45,24,6,106,23,0
"chr4.146",326,2247,20,26,23,1,3,8,4,13,80,54,55,49,16,2,55,24,1
"chr4.147",289,2824,16,33,21,2,10,5,3,10,92,74,57,58,21,2,82,23,0
"chr4.148",295,2025,16,35,21,0,6,4,2,6,91,78,60,53,21,5,59,23,0
"chr4.149",250,1611,6,20,23,0,9,3,9,12,43,73,52,43,15,5,45,12,0
"chr4.150",334,2316,15,39,35,0,6,7,9,16,62,77,66,58,20,2,68,26,0
"chr4.151",276,1718,11,18,17,1,6,5,5,11,53,69,42,33,17,3,58,11,0
