,kidney_clear_cell,kidney_papillary,melanoma_acral_lentiginuous,melanoma_desmoplastic,melanoma_mucosal_lentiginous,melanoma_nodular,melanoma_superificial_spreading,colorectal_nos,colorectal_adeno_nos,colorectal_adeno_mucinous,CIN,GS,MSI,POLE
chr4.150,232,58,39,0,4,782,531,11,1527,1223,79,15,6,1851
chr4.151,182,44,23,1,2,443,243,3,1051,1003,44,9,6,1378
chr4.152,259,60,46,4,11,1274,758,19,1864,1621,126,30,10,2315
chr4.153,259,60,65,1,3,1838,1170,30,2355,1724,193,41,12,2684
chr4.154,267,68,51,3,8,1292,870,18,2353,1789,210,47,9,2657
chr4.155,284,54,54,3,7,1500,1143,25,2428,1693,177,39,14,2772
chr4.156,295,68,39,7,3,1453,900,11,1635,1332,112,23,8,2000
chr4.157,257,70,49,0,3,1255,853,6,1329,1188,69,15,7,1706
chr4.158,425,72,100,5,6,1820,1396,18,2123,1732,180,38,8,2606
chr4.159,475,74,112,1,8,2073,1606,30,2927,2323,237,51,10,3519
chr4.160,393,77,106,5,10,2203,1584,28,2227,1953,176,32,13,2877
chr4.161,409,77,93,6,9,2650,1671,21,1948,1548,119,30,4,2406
chr4.162,436,63,125,1,5,3262,1998,30,2573,1847,214,54,9,2851
chr4.163,255,46,67,1,8,1777,1201,8,1782,1346,126,27,8,2057
chr4.164,257,73,143,11,9,3193,1963,27,2521,1940,209,50,3,2925
chr4.165,395,71,134,6,10,2806,1864,20,2728,2151,221,68,8,3235
chr4.166,254,58,61,4,4,2001,1163,11,1596,1376,92,21,6,2016
chr4.167,225,61,20,1,2,493,285,3,1026,940,53,6,5,1325
chr4.168,267,58,68,4,3,1826,1091,9,1623,1344,105,20,11,2004
chr4.169,385,69,68,6,7,1223,761,28,2967,2349,273,64,8,3450
chr4.170,440,68,97,7,0,1354,672,22,2241,1732,183,43,13,2705
chr4.171,227,59,58,1,5,1468,849,6,1497,1161,64,16,9,1836
chr4.172,304,63,57,2,3,1766,1048,14,1875,1572,128,30,3,2264
chr4.173,465,82,120,3,2,2914,1934,24,2966,2125,281,62,11,3073
chr4.174,285,52,76,1,2,1647,1062,27,2800,2147,255,61,7,3009
chr4.175,255,51,58,3,3,1755,1240,18,2376,1855,208,57,16,2713
chr4.176,413,80,106,5,1,2218,1478,16,2949,2189,218,62,9,3390
chr4.177,559,79,72,4,0,1236,779,31,3471,2719,356,88,19,3726
chr4.178,520,55,51,1,1,706,468,24,3107,2445,318,71,17,3186
chr4.179,458,88,154,6,3,1532,962,16,2549,1999,249,63,15,2576
chr4.180,314,74,75,7,2,1828,1114,14,2352,1813,182,58,16,2388
chr4.181,202,49,21,0,1,740,412,10,1275,1144,86,22,6,1564
chr4.182,204,50,34,0,0,691,451,3,1198,1139,57,13,10,1541
chr4.183,185,55,23,1,3,515,313,8,1281,1159,72,10,4,1548
chr4.184,221,54,44,2,1,1061,658,15,1258,1139,73,13,13,1585
chr4.185,253,51,79,1,1,2091,1190,9,1483,1425,97,24,12,1927
chr4.187,318,82,78,3,0,1574,972,23,2506,1799,259,63,11,2482
chr5.2,313,71,80,3,1,1110,748,5,1107,755,127,6,11,1181
chr5.3,418,82,120,7,6,2903,2012,34,2537,1574,315,49,11,2339
chr5.4,488,95,175,6,11,1685,1277,30,3278,1894,394,87,14,2843
chr5.5,305,69,88,2,6,2103,1489,45,3783,2201,384,75,19,3521
chr5.6,308,59,80,5,9,2073,1379,30,2699,1650,262,47,9,2652
chr5.7,283,71,75,3,8,1982,1420,24,1957,1269,163,35,9,2013
chr5.8,257,57,53,2,5,972,624,26,2181,1496,163,36,5,2451
chr5.9,354,66,57,2,11,1553,1072,19,2224,1561,176,36,6,2563
chr5.10,245,70,61,3,9,1696,1129,8,1353,1181,86,19,12,1763
chr5.11,252,85,50,1,6,1420,947,8,1331,1053,102,22,5,1564
chr5.12,348,64,120,5,10,2552,1888,36,2869,1862,262,63,12,2987
chr5.13,439,89,119,5,9,3565,2386,33,3754,2200,333,60,10,3759
chr5.14,281,76,101,3,9,3397,2396,21,2396,1600,193,41,10,2642
chr5.15,220,59,41,2,3,835,574,8,1157,834,72,9,6,1373
chr5.16,387,68,101,1,7,1152,862,25,2064,1497,188,31,9,2399
chr5.17,328,57,60,2,7,1465,931,15,1408,1035,105,16,10,1643
chr5.19,586,81,86,1,2,1422,1115,39,3028,1991,285,44,15,3257
chr5.20,620,99,107,2,7,2369,1774,34,4106,2459,412,73,18,3975
chr5.23,532,88,82,3,8,2404,1498,38,4244,2329,416,90,17,3910
chr5.24,513,78,129,2,11,3201,2389,46,4259,2547,412,80,14,4001
chr5.25,529,77,142,3,4,3016,2120,29,4208,2718,370,73,19,4200
chr5.26,647,88,170,3,7,2791,2029,42,4570,2845,435,80,21,4366
chr5.27,506,80,167,1,5,3253,2362,51,4266,2740,459,77,18,4225
chr5.28,368,75,136,3,11,2943,2356,47,3665,2436,427,91,23,3439
chr5.29,484,100,145,0,10,3116,2345,38,3477,2402,379,80,19,3511
chr5.30,474,80,149,2,5,2920,2039,49,3645,2396,389,73,15,3734
chr5.31,332,51,155,7,15,3029,2214,43,3405,2148,314,63,12,3547
chr5.32,247,65,54,1,2,998,681,18,1793,1300,142,27,11,2011
chr5.33,216,69,51,2,2,981,780,10,1299,1065,97,28,13,1637
chr5.34,231,71,85,1,5,1498,1101,41,2006,1380,165,34,6,2287
chr5.36,233,59,82,0,7,2372,1436,18,1724,1317,113,23,11,2112
chr5.37,235,69,55,2,2,1054,718,12,1914,1350,113,15,3,2193
chr5.39,210,62,73,5,2,2210,1359,20,2124,1530,162,35,11,2388
chr5.40,225,64,77,1,3,1406,851,9,1549,1269,96,8,2,2017
chr5.41,258,61,94,4,4,1709,1156,11,1631,1233,82,14,12,2018
chr5.42,255,61,141,1,6,2145,1553,22,1974,1365,106,19,13,2355
chr5.43,280,58,145,0,10,2321,1617,17,2092,1502,130,26,11,2512
chr5.45,419,72,111,4,9,1426,1160,33,2663,1829,220,38,15,3034
chr5.46,577,65,128,1,11,2321,1710,24,2560,1530,202,31,15,2727
chr5.48,442,62,93,2,16,2326,1600,23,2617,1721,175,47,10,2949
chr5.49,280,67,65,1,19,1320,919,10,1793,1318,102,28,8,2169
chr5.50,278,69,38,1,0,713,520,19,1664,1318,96,17,10,2085
chr5.51,270,68,41,2,7,728,497,11,1737,1287,83,22,7,2091
chr5.52,205,53,22,0,1,533,376,10,1349,1004,66,8,4,1606
chr5.53,200,56,37,1,3,573,402,10,1625,1156,90,17,10,1848
chr5.54,269,64,37,1,5,708,453,19,1817,1244,104,19,6,2082
chr5.55,270,67,32,3,4,858,551,15,1848,1338,111,17,8,2267
chr5.57,227,60,30,1,2,430,319,5,1448,1192,64,15,17,1834
chr5.58,241,62,45,1,6,818,609,11,1560,1223,85,10,4,1944
chr5.60,366,63,111,2,11,2256,1663,31,2995,1940,241,58,11,3331
chr5.61,262,60,65,2,6,1271,869,17,2001,1487,114,34,12,2397
chr5.62,236,50,30,2,1,971,702,6,1470,1135,65,13,5,1893
chr5.63,244,72,32,2,2,980,769,18,1654,1306,104,17,9,2040
chr5.64,267,58,30,3,3,610,455,5,1581,1131,63,17,6,1877
chr5.65,239,48,36,1,5,815,587,6,1427,1171,47,8,5,1813
chr5.69,216,53,19,0,1,533,398,7,1554,1079,70,9,9,1815
chr5.70,238,67,28,2,7,764,435,2,1317,1034,40,11,9,1598
chr5.71,245,50,37,0,3,859,590,5,1228,991,50,12,8,1524
chr5.73,232,56,39,0,5,900,538,9,1426,1043,65,16,8,1750
chr5.74,202,61,29,1,1,659,506,10,1881,1232,80,14,9,2127
chr5.76,229,67,28,0,2,674,501,11,1585,1169,81,11,10,1894
chr5.78,219,52,36,0,4,531,368,3,1744,1216,84,11,8,2054
chr5.79,189,56,32,2,4,740,565,12,1809,1269,104,21,7,2130
chr5.80,269,62,50,1,7,859,732,16,2128,1498,148,22,3,2436
chr5.81,462,66,67,4,13,1378,954,28,3270,2061,275,64,9,3415
chr5.82,485,86,75,7,12,2099,1616,39,3499,2340,315,82,23,3672
chr5.83,324,59,57,0,17,1313,1066,29,2243,1655,186,37,12,2571
chr5.84,364,71,54,1,7,1795,1156,24,2063,1448,138,17,6,2413
chr5.85,322,65,33,2,6,1049,794,20,2096,1467,147,25,7,2367
chr5.86,536,76,37,1,10,902,605,33,2342,1639,193,43,8,2741
chr5.87,255,67,43,2,4,935,598,8,1585,1246,90,10,1,1915
chr5.88,226,70,42,0,3,1550,1084,17,1784,1382,127,16,9,2195
chr5.90,265,73,32,2,7,584,448,16,1776,1257,129,22,10,2051
chr5.91,256,53,43,2,7,1370,929,28,2160,1535,138,29,9,2552
chr5.92,254,63,47,2,5,1131,750,10,1399,1118,82,14,12,1749
chr5.93,192,55,29,2,2,746,559,3,1361,1172,47,9,7,1838
chr5.94,323,53,56,1,7,1477,1067,12,1803,1236,85,19,5,2176
chr5.95,370,65,53,1,2,788,528,9,1539,1047,65,10,6,1847
chr5.98,383,63,72,4,8,2196,1353,27,2537,1809,208,55,11,3035
chr5.99,247,62,63,2,11,1712,1009,19,2099,1417,119,43,6,2417
chr5.100,319,71,40,1,8,1246,816,16,1963,1420,109,23,9,2349
chr5.101,481,66,73,4,2,1310,727,24,2006,1321,145,31,10,2285
chr5.102,700,86,103,5,4,2479,1588,42,2835,1789,223,44,6,3155
chr5.103,416,60,55,0,3,1513,894,24,2685,1703,193,49,7,3005
chr5.104,343,46,30,1,6,661,504,12,1834,1360,99,15,11,2336
chr5.105,302,63,47,1,5,570,385,6,1582,1285,107,14,8,1961
chr5.106,256,65,39,0,9,815,522,10,1832,1279,88,16,6,2128
chr5.107,335,55,95,8,3,2028,1332,28,2649,1712,195,31,7,2923
chr5.108,269,49,72,3,3,1880,1356,30,2219,1442,170,36,8,2492
chr5.109,240,56,35,1,4,1108,749,20,1836,1230,138,23,6,2026
chr5.110,329,62,53,1,4,1506,1040,25,2094,1505,171,43,7,2455
chr5.111,481,61,89,3,5,2275,1495,17,2138,1485,154,24,7,2399
chr5.112,230,74,51,0,7,882,540,10,1346,1118,71,12,10,1670
chr5.113,258,48,60,0,5,541,357,7,1648,1223,101,22,5,1917
chr5.114,290,69,58,1,5,1434,923,32,2379,1751,193,40,13,2816
chr5.115,220,79,30,2,7,772,485,26,2109,1481,140,26,5,2483
chr5.116,307,67,53,5,6,1849,1215,13,1608,1133,90,20,6,1885
chr5.117,503,82,76,2,9,1826,1244,27,2803,1791,206,49,7,3076
chr5.118,499,83,50,2,4,822,614,31,2361,1740,197,42,13,2793
chr5.119,265,67,71,0,4,1723,1228,12,1570,1280,83,14,8,1983
chr5.120,272,48,50,0,8,1056,741,8,1562,1234,79,13,4,1946
chr5.121,305,65,25,1,8,656,427,8,1751,1179,73,15,5,2045
chr5.122,235,71,31,0,5,737,508,11,2008,1405,94,16,6,2377
chr5.124,345,67,27,0,2,714,473,11,1423,1154,73,17,10,1837
chr5.125,470,57,50,3,2,1496,975,19,1961,1501,111,29,9,2376
chr5.126,434,82,64,3,8,1486,953,21,2276,1485,133,38,4,2581
chr5.128,221,67,51,1,3,561,395,5,1270,1070,55,15,5,1635
chr5.129,252,76,33,1,5,471,303,4,954,781,54,13,4,1172
chr5.130,250,57,37,1,8,658,474,5,1148,987,71,17,7,1426
chr5.132,252,69,39,2,4,955,715,5,1276,1043,58,7,6,1613
chr5.133,318,78,68,2,6,1881,1378,15,1654,1360,98,21,10,2101
chr5.134,256,51,43,1,2,695,527,14,1579,1174,133,21,3,1871
chr5.137,285,67,43,3,4,1040,718,11,1233,995,83,11,9,1504
chr5.138,276,78,30,3,8,1005,711,13,1533,1110,124,15,10,1711
chr5.139,246,49,25,1,0,520,385,6,1126,938,59,13,11,1425
chr5.140,259,74,33,2,2,772,521,5,1817,1285,102,20,5,2153
chr5.141,281,61,94,0,10,2472,1800,24,2380,1615,143,21,15,2843
chr5.142,198,59,50,3,5,1457,978,9,1401,1085,65,22,8,1738
chr5.143,279,57,34,3,1,754,493,14,1567,1217,100,19,6,1895
chr5.144,352,67,45,0,5,855,515,14,1829,1407,97,10,7,2238
chr5.145,261,58,88,2,2,1317,874,11,1680,1240,86,10,7,2037
chr5.146,256,72,21,1,2,514,339,6,990,819,56,9,8,1241
chr5.147,247,65,24,2,2,716,484,10,962,821,67,6,6,1179
chr5.148,273,58,27,3,2,667,533,13,1382,996,100,14,7,1569
chr5.150,402,53,114,2,8,2510,1811,37,2520,1548,197,58,9,2668
chr5.151,241,51,21,0,1,535,380,8,1146,879,54,15,5,1360
chr5.153,356,58,52,2,4,559,369,34,2186,1581,185,29,9,2552
chr5.154,256,59,29,3,2,1005,621,7,1271,1015,70,10,8,1590
chr5.155,312,61,47,2,3,1211,711,17,1908,1470,145,28,8,2274
chr5.156,296,55,36,1,3,1097,716,17,1685,1273,142,28,5,1947
chr5.157,256,71,35,1,5,855,514,6,1110,912,65,2,4,1364
chr5.158,430,74,83,11,4,2498,1765,19,2139,1531,156,36,6,2521
chr5.159,457,76,92,6,12,1531,1009,30,2651,1853,218,52,9,3014
chr5.160,388,70,65,5,3,1586,1041,26,1831,1410,161,25,9,2173
chr5.161,548,86,48,2,9,1142,703,42,3109,1963,304,69,13,3240
chr5.162,699,91,58,1,4,1075,744,29,3110,1917,325,77,17,3243
chr5.163,571,81,113,3,11,1708,1070,37,2585,1737,300,77,20,2647
chr5.164,399,67,116,4,9,2015,1691,27,2213,1558,192,43,21,2474
chr5.165,251,69,69,1,5,1176,770,11,1237,951,64,12,7,1454
chr5.166,305,71,58,1,4,1989,1236,32,2303,1534,182,47,5,2487
chr5.167,389,61,23,2,2,1095,587,9,1638,1219,144,27,13,1874
chr5.168,271,51,37,1,6,1178,528,11,1359,1057,97,17,13,1588
chr5.169,251,54,41,2,0,621,386,3,935,791,49,10,8,1131
chr5.170,267,67,30,3,2,682,488,14,1335,1014,79,18,8,1537
chr5.171,361,68,70,1,2,941,634,6,1630,1156,105,25,10,1786
chr6.2,186,47,47,2,3,631,434,5,1177,903,79,20,6,1361
chr6.3,182,55,40,3,5,691,413,6,1101,858,76,10,11,1372
chr6.4,197,49,56,2,2,730,402,8,1207,769,73,11,6,1289
chr6.5,218,57,42,3,7,592,416,7,1592,973,82,11,8,1794
chr6.6,225,53,51,5,8,722,406,8,1248,876,86,10,5,1399
chr6.7,244,61,84,4,8,1332,856,5,1414,972,78,4,4,1662
chr6.8,230,67,40,3,0,874,512,5,1185,890,69,10,13,1419
chr6.9,220,54,51,2,9,756,439,18,1838,1164,108,16,4,2143
chr6.10,260,60,68,4,9,679,436,28,2613,1406,256,43,7,2721
chr6.11,233,46,52,4,6,687,456,18,1709,1017,141,12,9,1836
chr6.12,226,67,68,1,6,743,506,5,1270,955,60,11,6,1569
chr6.13,221,55,90,3,5,1417,1034,9,1589,1113,91,16,4,1835
chr6.14,230,66,54,5,4,555,444,4,1459,927,82,11,7,1667
chr6.15,197,55,48,5,4,879,553,11,1572,984,90,8,12,1726
chr6.16,185,77,55,2,2,624,413,2,1390,850,67,11,6,1558
chr6.17,199,61,57,5,7,606,405,9,1414,929,83,15,6,1640
chr6.18,184,56,54,1,2,851,481,4,1336,874,74,11,7,1477
chr6.19,224,48,37,3,3,833,505,13,1614,1002,129,12,6,1793
chr6.20,205,65,63,5,5,1045,706,23,2041,1221,188,39,6,2189
chr6.21,175,50,30,2,7,521,377,8,1175,919,69,11,6,1454
chr6.22,198,67,49,5,8,650,440,7,1422,941,82,11,4,1616
chr6.23,263,58,49,3,15,767,552,11,1981,1280,131,28,3,2306
chr6.24,218,56,63,4,7,1019,692,24,2588,1494,197,39,7,2826
chr6.25,189,61,59,1,3,900,513,6,1559,926,93,13,6,1728
chr6.26,225,57,54,5,9,857,573,3,1522,1004,82,7,7,1767
chr6.28,240,47,86,7,7,1288,807,11,1910,1156,125,18,5,2039
chr6.29,239,56,75,8,8,1259,867,12,1974,1090,139,21,8,2017
chr6.30,224,49,43,4,3,1254,841,17,1528,1089,115,15,3,1765
chr6.31,197,80,37,3,12,657,457,5,932,672,67,7,6,1086
chr6.33,189,50,39,4,9,882,538,5,1254,873,67,3,6,1446
chr6.34,209,67,57,3,6,786,532,3,881,666,71,6,6,1028
chr6.35,185,70,41,0,5,567,346,6,879,689,49,7,8,1069
chr6.36,183,80,39,4,1,717,440,3,948,666,46,6,3,1077
chr6.37,194,65,40,5,6,693,492,4,932,603,43,5,5,1041
chr6.38,212,67,51,1,7,694,454,2,1248,853,66,10,6,1427
chr6.39,197,55,60,3,4,740,516,2,1371,1015,79,8,3,1639
chr6.40,213,56,55,2,7,1101,698,8,1653,1046,101,8,7,1824
chr6.41,266,53,70,3,8,1504,976,9,1611,1052,100,23,8,1772
chr6.42,231,51,62,2,4,871,553,3,1129,753,56,16,6,1257
chr6.44,193,73,37,1,5,761,489,3,792,587,54,5,9,914
chr6.45,191,46,37,4,7,758,476,7,1286,876,80,19,8,1499
chr6.46,230,63,45,2,6,706,440,6,1388,1046,81,9,6,1671
chr6.47,227,51,54,4,12,1070,646,7,1482,1198,48,7,1,1930
chr6.48,219,58,56,1,5,868,565,10,1350,1108,80,10,4,1774
chr6.49,335,65,139,9,9,1775,1028,35,2229,1415,191,23,3,2603
chr6.50,345,78,128,3,18,2875,1865,30,2058,1345,155,20,3,2449
chr6.51,312,72,95,3,8,1204,801,36,2764,1838,268,38,3,3085
chr6.52,233,75,52,1,9,614,462,25,1902,1344,147,26,5,2311
chr6.53,200,49,46,2,5,613,409,3,1102,988,50,4,5,1488
chr6.54,190,67,41,4,9,1089,620,7,1302,1075,69,10,4,1709
chr6.55,281,58,145,6,8,2995,1985,10,1775,1229,88,10,5,2189
chr6.56,354,71,155,10,5,2856,1916,26,2246,1615,209,30,9,2709
chr6.57,220,53,62,2,2,879,621,13,1496,1209,84,8,9,1947
chr6.60,404,81,191,8,30,2793,1827,17,2573,1774,225,39,8,2961
chr6.61,267,55,121,12,4,1568,971,11,1526,1270,89,16,13,2018
chr6.63,539,76,90,0,1,1126,679,28,3023,2450,293,61,13,3717
chr6.64,483,89,87,0,4,990,663,20,3352,2540,339,77,15,3909
chr6.65,299,75,59,3,9,1138,724,38,3440,2682,359,84,17,3913
chr6.66,321,55,75,1,7,1013,616,36,3491,2421,344,71,10,3803
chr6.67,244,55,65,1,4,1826,1120,25,2230,1611,181,36,11,2620
chr6.68,208,60,31,1,4,1088,668,12,1594,1218,88,10,7,1966
chr6.69,291,42,52,5,9,2191,1383,25,2741,1790,211,35,10,3071
chr6.70,289,54,29,2,2,1723,983,24,2650,1800,228,50,7,2904
chr6.73,213,63,25,1,5,835,553,10,1633,1170,89,16,10,1939
chr6.74,341,60,94,0,10,1706,1288,22,2541,1763,219,45,9,2901
chr6.75,350,73,84,1,0,2255,1664,20,2567,1621,212,38,11,2869
chr6.76,251,58,61,1,5,2152,1363,16,2050,1496,148,19,6,2472
chr6.77,182,48,26,0,3,875,535,10,1629,1196,91,12,5,1986
chr6.78,307,61,27,2,3,836,530,12,2070,1302,136,29,9,2352
chr6.79,330,59,36,1,10,873,556,12,1826,1305,104,16,10,2251
chr6.80,233,62,53,3,3,1418,976,13,1810,1237,110,25,11,2098
chr6.81,286,65,56,3,10,1867,1245,12,1636,1238,115,11,4,1983
chr6.82,309,67,77,4,4,2681,1632,12,1990,1398,155,35,8,2309
chr6.85,181,67,25,1,7,893,509,14,1596,1253,88,12,6,1948
chr6.86,229,51,39,0,5,863,633,9,1836,1301,111,23,4,2108
chr6.87,207,61,42,0,4,413,292,8,1607,1121,92,25,8,1816
chr6.88,303,50,28,0,3,1263,845,25,2294,1605,160,25,11,2501
chr6.89,252,76,61,1,1,1861,1332,27,3430,1827,256,56,16,3279
chr6.90,331,55,89,3,8,2655,1729,40,4062,2411,318,68,8,4166
chr6.91,220,68,94,3,5,2977,1944,16,2872,1976,230,50,8,3292
chr6.93,313,54,87,2,8,2633,1806,21,2730,1848,213,41,5,3014
chr6.94,223,58,36,2,5,1213,830,20,2158,1475,138,24,8,2477
chr6.95,354,65,50,4,4,2269,1387,31,2999,2033,257,43,12,3388
chr6.96,323,75,18,1,0,1202,723,18,2199,1543,172,27,10,2534
chr6.97,261,50,40,2,4,1473,1006,19,2165,1419,123,26,6,2505
chr6.98,263,56,36,0,6,999,558,9,1829,1317,123,20,8,2177
chr6.99,454,58,41,2,5,1516,1079,28,3257,2050,297,68,16,3482
chr6.100,579,77,81,1,6,2639,1645,32,3824,2626,337,83,14,4101
chr6.101,523,92,78,1,8,3021,2011,34,3235,2148,311,54,13,3559
chr6.102,305,52,34,1,4,1127,678,16,1769,1308,131,14,12,2104
chr6.103,255,70,23,1,1,1070,714,11,1552,1181,74,11,3,1889
chr6.104,188,60,22,0,1,735,428,6,1077,849,61,10,9,1333
chr6.105,196,54,15,2,1,460,314,2,1426,1061,66,13,5,1684
chr6.106,194,39,13,1,1,377,287,6,1091,894,42,12,4,1398
chr6.107,182,55,14,0,0,670,457,11,1495,1217,92,8,7,1902
chr6.108,194,69,17,0,1,324,238,1,1232,1023,53,11,13,1560
chr6.109,201,70,16,2,5,557,380,12,1776,1246,120,20,5,2068
chr6.110,233,54,21,0,4,1050,602,17,2203,1473,118,27,6,2629
chr6.111,249,67,23,1,0,904,566,7,1659,1324,99,19,13,2035
chr6.112,378,66,60,4,6,2594,1732,27,2763,1927,229,47,10,3217
chr6.113,213,49,60,3,4,1483,931,11,1727,1321,119,21,6,2067
chr6.114,289,61,42,2,2,1848,1155,11,1853,1461,93,12,6,2346
chr6.115,276,66,24,1,3,552,365,24,2206,1636,193,36,7,2555
chr6.116,193,47,26,1,6,1119,706,17,1796,1228,127,14,8,2037
chr6.117,337,71,78,1,5,2872,1824,29,2618,1803,195,37,12,3010
chr6.118,363,71,51,3,8,1958,1341,27,2102,1501,173,24,8,2498
chr6.119,342,84,50,7,3,1353,844,31,2312,1677,221,42,10,2676
chr6.120,243,56,34,4,3,1598,1009,18,2103,1499,157,25,5,2467
chr6.121,382,62,53,3,4,2239,1426,28,3005,1807,230,56,6,3212
chr6.122,240,52,62,1,3,1469,839,16,2031,1363,123,27,6,2334
chr6.124,226,45,34,5,2,892,627,14,2114,1622,137,36,8,2531
chr6.125,238,45,33,4,4,2047,1120,7,1847,1294,93,17,7,2240
chr6.126,297,62,31,4,5,1342,833,12,2114,1455,101,18,10,2544
chr6.127,215,68,35,4,6,1752,952,14,1688,1299,82,15,5,2089
chr6.128,203,53,39,2,7,1629,1003,5,1355,1182,75,13,14,1818
chr6.129,187,51,20,1,0,608,364,3,1698,1283,71,18,6,2114
chr6.130,312,52,34,2,3,1471,828,17,2260,1548,135,30,8,2611
chr6.131,229,59,20,0,3,1053,708,7,1655,1290,81,17,6,1999
chr6.132,210,53,16,1,2,435,255,6,1308,1048,68,9,9,1655
chr6.133,190,58,21,3,4,1429,873,8,1598,1287,84,15,11,1989
chr6.134,220,65,25,2,2,783,470,6,1284,1076,50,13,5,1640
chr6.135,204,59,32,3,2,635,374,6,1372,1115,58,18,5,1731
chr6.136,204,56,24,0,0,537,305,7,1442,1125,67,10,14,1745
chr6.137,231,65,14,1,2,881,454,13,1988,1401,109,26,9,2295
chr6.138,277,49,15,1,2,789,494,21,2382,1452,177,36,2,2585
chr6.139,197,78,22,2,2,1007,578,18,1998,1406,157,22,12,2317
chr6.140,214,63,31,1,4,732,425,4,1485,1183,72,9,5,1825
chr6.141,190,57,24,1,3,628,444,8,1319,1005,73,5,11,1627
chr6.142,240,51,22,2,2,868,502,12,1733,1239,112,25,1,2097
chr6.143,316,59,30,0,4,558,306,19,2123,1526,130,29,10,2509
chr6.144,267,69,23,3,5,615,384,5,1705,1308,70,15,8,2145
chr6.145,193,55,15,0,3,503,339,9,1201,1047,111,12,8,1518
chr6.146,237,62,15,0,4,608,308,14,1833,1298,104,21,11,2080
chr6.147,201,67,14,1,7,591,345,2,1226,917,62,13,5,1481
chr6.148,173,42,8,0,4,337,251,5,1306,924,82,20,17,1477
chr6.149,192,49,25,0,0,749,440,22,2332,1544,195,37,9,2508
chr6.150,303,53,42,1,5,1192,769,23,2520,1818,192,44,4,2860
chr6.151,258,69,31,1,8,719,490,21,2123,1441,175,32,7,2380
chr6.152,243,59,23,0,8,555,354,2,1447,1049,65,11,10,1729
chr6.153,283,66,37,1,2,1440,1154,14,2080,1421,127,27,8,2375
chr6.155,187,51,18,0,1,349,269,5,978,772,57,7,3,1172
chr6.156,191,57,24,5,3,731,463,10,1345,1060,92,16,9,1611
chr6.157,221,58,29,0,6,1013,572,5,1325,1002,79,14,8,1571
chr6.160,214,63,37,0,5,832,540,29,2601,1754,274,58,14,2690
chr6.161,261,72,26,0,1,531,328,31,2953,1907,352,70,17,2922
chr6.162,360,63,19,1,3,626,473,35,2880,1848,288,59,11,2937
chr6.163,263,58,24,2,2,607,363,8,1897,1260,129,29,5,2100
chr6.166,224,48,28,0,1,1039,677,9,1702,1159,117,8,4,1837
chr7.2,213,56,52,3,1,828,507,13,873,642,108,10,18,911
chr7.3,234,76,53,4,5,604,396,5,748,545,103,12,12,770
chr7.4,247,65,82,5,9,1298,1037,18,2161,1361,189,46,11,2212
chr7.8,218,53,44,4,6,819,446,10,1351,1086,48,16,1,1706
chr7.9,334,65,94,3,8,1633,999,23,1959,1421,153,32,7,2324
chr7.10,554,120,74,1,7,1525,1021,39,3449,2107,401,76,13,3481
chr7.11,424,88,67,3,2,1482,972,27,2856,1912,308,74,11,3041
chr7.12,240,69,69,2,6,1197,807,16,2150,1502,162,32,9,2521
chr7.13,260,55,57,2,6,1139,640,9,1781,1280,97,23,11,2079
chr7.14,420,78,57,2,6,1678,939,17,2305,1594,171,34,8,2657
chr7.15,310,67,74,2,9,1523,977,21,2565,1635,238,28,9,3023
chr7.16,248,48,58,4,7,1130,732,28,2361,1541,183,38,13,2664
chr7.17,247,54,35,0,7,889,549,10,1385,1109,90,18,8,1717
chr7.18,218,54,35,5,4,616,420,6,1513,1208,80,17,7,1890
chr7.19,404,73,69,0,2,2459,1418,26,2348,1565,196,34,17,2655
chr7.20,392,77,66,1,8,1509,947,30,2681,1690,265,35,17,2896
chr7.21,264,73,62,2,4,1583,916,11,1727,1222,113,18,4,2038
chr7.22,312,82,37,0,6,1770,1083,19,2005,1370,133,30,16,2230
chr7.23,259,63,30,1,7,1442,899,9,1649,1202,108,27,6,1903
chr7.25,228,65,80,4,9,1850,1238,14,1727,1287,130,28,12,2021
chr7.26,291,56,46,3,6,972,635,10,1481,1244,78,23,6,1911
chr7.27,217,63,37,2,5,1019,611,9,1560,1134,91,14,6,1894
chr7.28,199,78,51,3,5,844,489,7,1380,988,90,17,12,1629
chr7.29,232,51,38,2,3,958,568,10,2010,1354,138,18,14,2245
chr7.30,188,65,31,2,4,532,358,6,1271,1030,75,13,10,1606
chr7.31,194,59,29,1,3,570,395,7,1106,831,46,8,12,1323
chr7.32,316,65,79,5,3,1939,1347,17,1894,1321,143,27,5,2132
chr7.34,188,65,40,1,6,721,463,10,1382,1125,88,15,11,1718
chr7.35,379,66,97,5,6,3318,2292,26,1745,1308,161,20,16,2065
chr7.37,219,58,59,3,6,878,583,6,1407,990,95,20,9,1616
chr7.38,279,77,91,1,4,1385,1041,29,2054,1459,183,38,12,2250
chr7.39,235,66,39,1,2,932,617,20,2168,1441,178,37,12,2380
chr7.40,211,56,47,2,4,1475,1069,13,1697,1183,144,19,8,1899
chr7.41,222,77,50,4,6,858,541,16,1681,1329,126,23,4,2109
chr7.42,262,68,80,3,10,2338,1497,35,2330,1662,253,50,15,2597
chr7.43,288,68,43,3,5,1067,671,34,2565,1648,260,61,12,2605
chr7.44,237,70,57,2,5,1193,736,19,1729,1238,135,32,14,1939
